,CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,MembroMesa,MembroLideranca
0,5672,800,Alan Rick,Alan Rick Miranda,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672,sen.alanrick@senado.leg.br,UNIÃO,AC,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Sim
1,5982,829,Alessandro Vieira,Alessandro Vieira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5982.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5982,sen.alessandrovieira@senado.leg.br,MDB,SE,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
2,5967,832,Angelo Coronel,Angelo Mario Coronel de Azevedo Martins,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967,sen.angelocoronel@senado.leg.br,PSD,BA,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
3,6009,902,Astronauta Marcos Pontes,Marcos Cesar Pontes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009,sen.astronautamarcospontes@senado.leg.br,PL,SP,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
4,6350,930,Augusta Brito,Augusta Brito de Paula,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6350.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/6350,sen.augustabrito@senado.leg.br,PT,CE,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Sim
5,4639,877,Beto Faro,José Roberto Oliveira Faro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639,sen.betofaro@senado.leg.br,PT,PA,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
6,5936,949,Carlos Portinho,Carlos Francisco Portinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936,sen.carlosportinho@senado.leg.br,PL,RJ,338,Bloco Parlamentar Vanguarda,BLVANG,"('2023-02-06',)",Não,Sim
7,5990,843,Carlos Viana,Carlos Alberto Dias Viana,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990,sen.carlosviana@senado.leg.br,PODEMOS,MG,336,Bloco Parlamentar Democracia,BLDEM,"('2023-02-02',)",Não,Não
8,470,815,Chico Rodrigues,Francisco de Assis Rodrigues,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/470,sen.chicorodrigues@senado.leg.br,PSB,RR,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Sim,Não
9,5973,825,Cid Gomes,Cid Ferreira Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973,sen.cidgomes@senado.leg.br,PSB,CE,335,Bloco Parlamentar da Resistência Democrática,BLPRD,"('2023-02-01',)",Não,Não
